Name,Goals,Expected goals (xG),Big chances missed,Succ. dribbles,Total shots,Goal conversion %,Tackles,Interceptions,Clearances,Errors leading to goal,Blocked shots,Big chances created,Assists,Accurate passes,Accurate passes %,Key passes
Dani Díaz,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,3,75.0,0
Dani Olmo,6,5.47,5,5,49,12.24,25,7,13,0,0.0,6,6,584,84.88,33
Dani Parejo,0,0.17,0,6,2,0.0,27,9,10,1,6.0,3,0,507,88.48,17
Dani Pérez,0,,0,1,0,0.0,0,0,0,0,0.0,0,0,1,100.0,0
Dani Raba,0,0.21,0,3,8,0.0,7,4,1,0,0.0,1,1,79,79.8,2
Dani Rodríguez,0,0.02,0,1,1,0.0,2,0,1,0,0.0,0,0,12,66.67,1
Daniel Carvajal,0,0.16,0,1,2,0.0,9,2,15,0,3.0,1,0,216,91.14,2
Daniel Vivian,0,1.01,2,2,11,0.0,31,23,95,2,10.0,1,0,738,84.63,3
David Affengruber,0,0.44,1,6,6,0.0,42,31,112,1,18.0,0,0,1081,87.39,5
David Alaba,0,0.03,0,0,1,0.0,1,0,4,0,2.0,0,0,88,93.62,0
David Carmo,1,0.89,0,2,9,11.11,23,14,112,1,14.0,0,0,623,84.88,4
David Costas,0,0.45,1,7,1,0.0,22,19,81,1,11.0,1,0,603,88.03,4
David Jiménez,0,0.11,1,0,1,0.0,1,0,1,0,0.0,0,0,34,97.14,0
David López,0,,0,0,0,0.0,4,2,44,0,7.0,0,0,71,76.34,0
David Soria,0,,0,0,0,0.0,0,0,28,2,0.0,0,0,318,45.76,1
Davinchi,0,0.21,0,8,3,0.0,14,3,16,0,1.0,0,0,89,60.54,2
Dawda Camara,0,0.12,0,0,2,0.0,1,1,0,0,0.0,0,0,7,70.0,2
Dean Huijsen,1,1.8,2,1,16,6.25,21,15,80,0,9.0,1,2,914,88.82,9
Denis Suárez,1,0.79,2,13,5,20.0,16,4,7,0,3.0,1,0,534,86.41,13
Diego Llorente,1,0.67,0,0,1,100.0,5,7,27,0,2.0,0,0,132,88.0,0
Diego López,3,2.23,3,6,21,14.29,12,8,9,0,2.0,3,0,250,73.53,10
Diego Morcillo,0,0.45,1,0,1,0.0,0,0,0,0,0.0,0,0,2,50.0,0
Diego Pampín,0,0.02,0,4,1,0.0,7,3,12,0,0.0,0,0,96,80.67,1
Diego Rico,0,0.18,0,6,9,0.0,44,28,48,0,3.0,1,0,350,65.42,10
